City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
288,hanna,CA,2021-01-16 19:00:38,51.6334,-111.9018,26.6,79,3,9.22
289,ayan,RU,2021-01-16 19:03:00,56.45,138.1667,-17.0,78,0,6.4
290,husavik,IS,2021-01-16 19:03:49,66.0449,-17.3389,33.8,100,90,2.3
291,leshukonskoye,RU,2021-01-16 19:03:49,64.8989,45.7622,-15.38,88,0,1.54
292,norman wells,CA,2021-01-16 19:03:49,65.282,-126.8329,-4.0,84,75,5.75
293,saint-francois,FR,2021-01-16 19:03:49,46.4154,3.9054,32.0,93,90,8.05
294,gallup,US,2021-01-16 19:03:49,35.5281,-108.7426,50.0,22,1,13.8
295,saldanha,ZA,2021-01-16 18:59:43,-33.0117,17.9442,69.8,73,0,10.36
296,havre-saint-pierre,CA,2021-01-16 19:03:17,50.2334,-63.5986,26.6,86,90,11.5
297,dzaoudzi,YT,2021-01-16 19:03:50,-12.7887,45.2699,82.4,74,0,4.61
298,abapo,BO,2021-01-16 19:03:50,-18.8333,-63.4667,94.75,38,61,9.62
299,coleraine,GB,2021-01-16 18:58:56,55.1333,-6.6667,42.8,87,75,6.91
