City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
627,shihezi,CN,44.3,86.0333,-2.88,87,0,1.5,clear sky
628,strezhevoy,RU,60.7333,77.5889,6.8,85,90,4.47,light snow
629,pemba,MZ,-12.974,40.5178,82.4,83,75,9.22,broken clouds
630,mweka,CD,-4.85,21.5667,72.61,84,96,1.01,overcast clouds
631,kashi,CN,39.4547,75.9797,21.2,73,54,6.71,broken clouds
632,raduzhnyy,RU,62.0961,77.475,-2.63,92,100,9.13,overcast clouds
633,selty,RU,57.3132,52.1345,-11.38,90,60,4.38,broken clouds
634,yulara,AU,-25.2406,130.9889,69.8,24,0,6.91,clear sky
635,bac lieu,VN,9.285,105.7244,73.53,78,48,8.03,scattered clouds
636,camacupa,AO,-12.0167,17.4833,65.73,89,84,4.27,broken clouds
637,sundsvall,SE,62.3913,17.3063,6.8,92,2,3.44,clear sky
638,broken hill,AU,-31.95,141.4333,64.4,48,70,14.97,broken clouds
639,oaxtepec,MX,18.9,-98.9667,73.4,49,75,6.91,broken clouds
640,christchurch,NZ,-43.5333,172.6333,57.0,87,20,11.5,few clouds
641,southbridge,US,42.0751,-72.0334,41.0,49,30,5.99,scattered clouds
642,tres picos,MX,15.8667,-93.5333,89.28,39,36,4.68,scattered clouds
643,nanortalik,GL,60.1432,-45.2371,29.89,96,100,3.18,overcast clouds
644,vestmannaeyjar,IS,63.4427,-20.2734,37.4,81,75,25.32,broken clouds
645,port-cartier,CA,50.0334,-66.8654,30.99,93,100,10.36,snow
646,sampit,ID,-2.5333,112.95,74.17,95,95,3.0,light rain
647,bhuban,IN,20.8833,85.8333,61.18,85,0,1.63,clear sky
648,dhidhdhoo,MV,6.8833,73.1,81.86,80,3,13.11,light rain
649,gopalganj,IN,26.4667,84.4333,57.92,63,0,1.72,clear sky
650,carauari,BR,-4.8828,-66.8958,88.61,67,24,3.74,light rain
651,laguna,US,38.421,-121.4238,55.0,93,1,3.02,mist
652,touros,BR,-5.1989,-35.4608,86.0,62,40,20.71,scattered clouds
653,fortuna foothills,US,32.6578,-114.4119,72.0,22,1,8.05,clear sky
654,saint-joseph,RE,-21.3667,55.6167,82.4,78,20,5.75,few clouds
655,buchanan,LR,5.8808,-10.0467,87.8,70,20,3.44,few clouds
656,bima,ID,-8.4667,118.7167,76.84,86,100,1.3,light rain
657,qui nhon,VN,13.7667,109.2333,70.5,79,95,25.3,light rain
